Date,Match Time,Team 1,Team 2,Team 1 Odds,Team 2 Odds,Team 1 line,Team 2 line
2024-04-17,1:10 PM EDT,TEX,DET,-110,-120,4,4
2024-04-17,1:10 PM EDT,PIT,NYM,-120,-110,4,4
2024-04-17,2:10 PM EDT,ATL,HOU,-115,-115,5,5
2024-04-17,2:10 PM EDT,KC,CHW,-115,-115,4.5,4.5
2024-04-17,3:07 PM EDT,NYY,TOR,+100,-130,4.5,4.5
2024-04-17,3:10 PM EDT,WAS,LAD,-130,+100,5,5
2024-04-17,3:37 PM EDT,STL,ATH,-115,-115,4,4
2024-04-17,3:40 PM EDT,CHC,AZ,-130,+100,4.5,4.5
2024-04-17,4:10 PM EDT,CIN,SEA,-115,-115,4,4
2024-04-17,5:25 PM EDT,KC,CHW,-115,-115,4.5,4.5
2024-04-17,6:05 PM EDT,COL,PHI,+105,-135,6.5,6.5
2024-04-17,6:50 PM EDT,LAA,TB,-169,+135,2.5,2.5
2024-04-17,7:10 PM EDT,CLE,BOS,-169,+135,1.5,1.5
2024-04-18,1:10 PM EDT,LAA,TB,-105,-125,3.5,3.5
2024-04-18,1:10 PM EDT,TEX,DET,+125,-161,12.5,12.5
2024-04-18,1:35 PM EDT,CLE,BOS,+120,-149,4.5,4.5
2024-04-18,9:45 PM EDT,AZ,SF,-145,+115,1.5,1.5
2024-04-19,2:20 PM EDT,MIA,CHC,-130,+100,9.5,9.5
2024-04-19,6:40 PM EDT,LAA,CIN,-141,+110,4.5,4.5
2024-04-19,6:40 PM EDT,BOS,PIT,-141,+110,3.5,3.5
2024-04-19,6:40 PM EDT,CHW,PHI,+100,-120,4,4
2024-04-19,6:45 PM EDT,HOU,WAS,-120,+100,4,4
2024-04-19,7:05 PM EDT,TB,NYY,-115,-105,4.5,4.5
2024-04-19,7:10 PM EDT,ATH,CLE,-105,-125,4.5,4.5
2024-04-19,7:20 PM EDT,TEX,ATL,-115,-105,5,5
2024-04-19,7:40 PM EDT,BAL,KC,+100,-130,5,5
2024-04-19,8:10 PM EDT,DET,MIN,-115,-105,3.5,3.5
2024-04-19,8:15 PM EDT,MIL,STL,-120,+100,3.5,3.5
2024-04-19,9:40 PM EDT,TOR,SD,-125,-105,4.5,4.5
